input,defSolution,defExpanded,defFrontier,defTime,mhdSolution,mhdExpanded,mhdFrontier,mhdTime,sameSolution,betterSolution
"(3, 2, 1, 5, 4, 6, 0)","['ROW1', 'ROW2', 'ROW3', 'ROW2', 'ROW3', 'ROW3', 'ROW1', 'ROW1', 'ROW1']",70,107,0.0031557083129882812,"['ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW3', 'ROW2', 'ROW3', 'ROW3']",17,29,0.0004391670227050781,False,Default
"(1, 2, 4, 3, 5, 6, 0)","['ROW2', 'ROW2']",2,4,9.965896606445312e-05,"['ROW2', 'ROW2']",2,4,0.00011849403381347656,True,N/A
"(1, 6, 4, 3, 2, 5, 0)","['ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW3', 'ROW1']",43,72,0.0014183521270751953,"['ROW2', 'ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW3', 'ROW1', 'ROW1']",15,27,0.0003743171691894531,False,Default
"(1, 5, 2, 3, 4, 6, 0)","['ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW3', 'ROW2', 'ROW3', 'ROW3']",38,62,0.0009493827819824219,"['ROW3', 'ROW2', 'ROW1', 'ROW1', 'ROW3', 'ROW1', 'ROW1', 'ROW3', 'ROW3']",22,37,0.0005745887756347656,False,Default
"(5, 6, 4, 2, 1, 3, 0)","['ROW1', 'ROW3', 'ROW1', 'ROW1', 'ROW3', 'ROW2', 'ROW2', 'ROW1']",35,62,0.0009238719940185547,"['ROW1', 'ROW3', 'ROW3', 'ROW2', 'ROW2', 'ROW3', 'ROW3', 'ROW1', 'ROW1', 'ROW3', 'ROW1']",19,32,0.00044465065002441406,False,Default
"(2, 6, 5, 4, 1, 3, 0)","['ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW3', 'ROW2', 'ROW2', 'ROW2']",73,108,0.0029337406158447266,"['ROW3', 'ROW1', 'ROW1', 'ROW3', 'ROW2', 'ROW3', 'ROW2', 'ROW2', 'ROW2', 'ROW3', 'ROW3']",19,32,0.0004436969757080078,False,Default
"(3, 4, 6, 5, 2, 1, 0)","['ROW1', 'ROW2', 'ROW3', 'ROW3', 'ROW1', 'ROW1', 'ROW2', 'ROW3', 'ROW3', 'ROW1']",269,383,0.02639484405517578,"['ROW1', 'ROW2', 'ROW3', 'ROW1', 'ROW2', 'ROW3', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW3', 'ROW3']",26,45,0.0006582736968994141,False,Default
"(2, 3, 6, 5, 4, 1, 0)","['ROW2', 'ROW3', 'ROW3', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW3', 'ROW3', 'ROW2']",283,383,0.029439449310302734,"['ROW2', 'ROW3', 'ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW2', 'ROW3', 'ROW2', 'ROW2', 'ROW3', 'ROW3']",24,43,0.0005974769592285156,False,Default
"(6, 4, 1, 5, 3, 2, 0)","['ROW1', 'ROW3', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW3', 'ROW1', 'ROW3', 'ROW3']",119,184,0.006442546844482422,"['ROW3', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW3', 'ROW3', 'ROW1', 'ROW1', 'ROW3', 'ROW1', 'ROW1']",14,26,0.0003228187561035156,False,Default
"(1, 5, 2, 6, 4, 3, 0)","['ROW1', 'ROW1', 'ROW1', 'ROW3', 'ROW2', 'ROW2', 'ROW3', 'ROW2', 'ROW2', 'ROW1']",267,357,0.026365041732788086,"['ROW3', 'ROW2', 'ROW1', 'ROW1', 'ROW3', 'ROW1', 'ROW1', 'ROW3', 'ROW2', 'ROW3', 'ROW2', 'ROW2']",24,41,0.0005888938903808594,False,Default
"(6, 3, 2, 5, 1, 4, 0)","['ROW3', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW3', 'ROW2', 'ROW3', 'ROW2']",111,168,0.005865573883056641,"['ROW3', 'ROW1', 'ROW3', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW3', 'ROW2', 'ROW3', 'ROW3']",25,44,0.0005991458892822266,False,Default
"(4, 1, 2, 3, 6, 5, 0)","['ROW1', 'ROW2', 'ROW1', 'ROW3', 'ROW3']",6,12,0.00010466575622558594,"['ROW1', 'ROW2', 'ROW1', 'ROW3', 'ROW3']",7,13,0.0001418590545654297,True,N/A
"(1, 3, 4, 6, 2, 5, 0)","['ROW1', 'ROW1', 'ROW3', 'ROW1', 'ROW2', 'ROW2', 'ROW3']",54,82,0.0017147064208984375,"['ROW3', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW3', 'ROW1', 'ROW1']",20,35,0.0004894733428955078,False,Default
"(1, 4, 3, 5, 2, 6, 0)","['ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW3', 'ROW1', 'ROW3', 'ROW3']",137,197,0.007703304290771484,"['ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW3', 'ROW1', 'ROW3', 'ROW3']",38,62,0.0010638236999511719,False,Default
"(6, 4, 1, 3, 2, 5, 0)","['ROW2', 'ROW1', 'ROW3', 'ROW1', 'ROW2']",26,45,0.0005624294281005859,"['ROW2', 'ROW1', 'ROW3', 'ROW1', 'ROW2']",5,10,0.00011873245239257812,True,N/A
"(5, 2, 3, 6, 1, 4, 0)","['ROW1', 'ROW3', 'ROW2', 'ROW2', 'ROW3', 'ROW2', 'ROW1', 'ROW1', 'ROW1']",157,227,0.009914875030517578,"['ROW3', 'ROW1', 'ROW3', 'ROW1', 'ROW1', 'ROW3', 'ROW2', 'ROW2', 'ROW3', 'ROW2', 'ROW2']",23,39,0.0005679130554199219,False,Default
"(3, 2, 5, 1, 6, 4, 0)","['ROW1', 'ROW2', 'ROW3', 'ROW3', 'ROW2', 'ROW1', 'ROW1', 'ROW1']",52,81,0.0017316341400146484,"['ROW2', 'ROW3', 'ROW3', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2']",19,32,0.0004940032958984375,False,Default
"(3, 2, 1, 6, 5, 4, 0)","['ROW1', 'ROW2', 'ROW3', 'ROW3', 'ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW1']",167,240,0.011081695556640625,"['ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW3', 'ROW3', 'ROW2', 'ROW3', 'ROW3']",23,39,0.0005924701690673828,False,Default
"(4, 3, 6, 5, 2, 1, 0)","['ROW1', 'ROW3', 'ROW3', 'ROW1', 'ROW1', 'ROW2', 'ROW3', 'ROW2', 'ROW3', 'ROW1', 'ROW3', 'ROW3']",620,689,0.13393735885620117,"['ROW1', 'ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW3', 'ROW3']",56,92,0.0018613338470458984,False,Default
"(1, 5, 3, 2, 4, 6, 0)","['ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW3', 'ROW2', 'ROW1', 'ROW3', 'ROW3']",297,359,0.03242754936218262,"['ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW3', 'ROW2', 'ROW3', 'ROW3']",27,45,0.0006818771362304688,False,Default
"(4, 6, 3, 1, 5, 2, 0)","['ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW3', 'ROW3', 'ROW1', 'ROW3', 'ROW1']",294,378,0.031247615814208984,"['ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW3', 'ROW3', 'ROW1', 'ROW3', 'ROW3']",26,44,0.0006594657897949219,False,Default
