input,defSolution,defExpanded,defFrontier,defTime,mhdSolution,mhdExpanded,mhdFrontier,mhdTime,sameSolution,betterSolution
"(5, 6, 8, 3, 4, 2, 1, 7, 0)","['ROW3', 'ROW2', 'ROW4', 'ROW1', 'ROW3', 'ROW1', 'ROW3', 'ROW1']",44,122,0.002962827682495117,"['ROW4', 'ROW1', 'ROW3', 'ROW2', 'ROW4', 'ROW1', 'ROW3', 'ROW1']",12,35,0.00042176246643066406,False,Manhattan
"(5, 7, 6, 3, 8, 2, 4, 1, 0)","['ROW1', 'ROW3', 'ROW4', 'ROW2', 'ROW3', 'ROW4', 'ROW1', 'ROW1', 'ROW4', 'ROW4', 'ROW1']",698,1727,0.36174869537353516,"['ROW1', 'ROW3', 'ROW4', 'ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW4', 'ROW1', 'ROW1', 'ROW1', 'ROW4', 'ROW4']",21,58,0.000820159912109375,False,Default
"(8, 4, 5, 2, 1, 6, 3, 7, 0)","['ROW1', 'ROW4', 'ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW3', 'ROW3']",274,688,0.06341671943664551,"['ROW4', 'ROW2', 'ROW3', 'ROW1', 'ROW4', 'ROW1', 'ROW2', 'ROW1', 'ROW3', 'ROW3']",20,56,0.0007526874542236328,False,Manhattan
"(4, 1, 7, 2, 5, 8, 6, 3, 0)","['ROW3', 'ROW3', 'ROW1', 'ROW2', 'ROW4', 'ROW3', 'ROW4', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",405,1029,0.1300199031829834,"['ROW1', 'ROW2', 'ROW4', 'ROW3', 'ROW3', 'ROW4', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW3', 'ROW3']",30,82,0.0013387203216552734,False,Default
"(5, 7, 3, 2, 1, 6, 4, 8, 0)","['ROW2', 'ROW3', 'ROW1', 'ROW3', 'ROW3', 'ROW2', 'ROW2', 'ROW1', 'ROW4', 'ROW2', 'ROW4', 'ROW4']",732,1646,0.4149196147918701,"['ROW1', 'ROW3', 'ROW1', 'ROW3', 'ROW3', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW4', 'ROW2', 'ROW4', 'ROW4']",36,95,0.0017626285552978516,False,Default
"(8, 3, 5, 7, 1, 4, 2, 6, 0)","['ROW3', 'ROW1', 'ROW4', 'ROW1', 'ROW2', 'ROW3', 'ROW3', 'ROW2', 'ROW4', 'ROW3', 'ROW4', 'ROW4']",308,794,0.07911229133605957,"['ROW3', 'ROW1', 'ROW4', 'ROW1', 'ROW2', 'ROW3', 'ROW3', 'ROW2', 'ROW4', 'ROW3', 'ROW4', 'ROW4']",15,43,0.0005383491516113281,True,N/A
"(7, 1, 3, 5, 8, 4, 2, 6, 0)","['ROW1', 'ROW4', 'ROW2', 'ROW2', 'ROW3', 'ROW4', 'ROW3', 'ROW2', 'ROW1']",891,2137,0.6393067836761475,"['ROW1', 'ROW4', 'ROW1', 'ROW3', 'ROW4', 'ROW3', 'ROW2', 'ROW2', 'ROW2', 'ROW3', 'ROW2', 'ROW3', 'ROW3']",33,87,0.0014772415161132812,False,Default
"(4, 3, 5, 7, 6, 2, 8, 1, 0)","['ROW1', 'ROW2', 'ROW3', 'ROW3', 'ROW2', 'ROW4', 'ROW4', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1']",1268,2969,1.318101406097412,"['ROW2', 'ROW3', 'ROW3', 'ROW1', 'ROW4', 'ROW4', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW4', 'ROW2', 'ROW4', 'ROW4']",19,53,0.0007522106170654297,False,Default
"(8, 3, 4, 7, 2, 5, 6, 1, 0)","['ROW1', 'ROW4', 'ROW3', 'ROW4', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW4', 'ROW4', 'ROW1']",765,1884,0.46868085861206055,"['ROW1', 'ROW4', 'ROW3', 'ROW2', 'ROW2', 'ROW4', 'ROW1', 'ROW4', 'ROW4', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",21,58,0.0008184909820556641,False,Default
"(4, 5, 2, 6, 7, 1, 3, 8, 0)","['ROW1', 'ROW4', 'ROW2', 'ROW3', 'ROW4', 'ROW4', 'ROW2', 'ROW3', 'ROW1', 'ROW1', 'ROW3', 'ROW1', 'ROW3', 'ROW3']",4641,9216,15.737682104110718,"['ROW3', 'ROW4', 'ROW2', 'ROW1', 'ROW2', 'ROW3', 'ROW4', 'ROW4', 'ROW1', 'ROW3', 'ROW1', 'ROW1', 'ROW1', 'ROW3', 'ROW3']",32,87,0.001461029052734375,False,Default
