input,defSolution,defExpanded,defFrontier,defTime,mhdSolution,mhdExpanded,mhdFrontier,mhdTime,sameSolution,betterSolution
"(5, 4, 6, 1, 2, 3, 0)","['ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1']",632,383,0.0458827018737793,"['ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",75,63,0.0012781620025634766,False,Default
"(1, 5, 3, 6, 4, 2, 0)","['ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",172,131,0.004415035247802734,"['ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",114,90,0.002538442611694336,True,N/A
"(1, 3, 5, 2, 6, 4, 0)","['ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2']",59,46,0.0008533000946044922,"['ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2']",57,45,0.0009310245513916016,True,N/A
"(6, 4, 1, 2, 5, 3, 0)","['ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",36,30,0.00048661231994628906,"['ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",10,9,0.00015878677368164062,True,N/A
"(4, 5, 1, 6, 2, 3, 0)","['ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",78,67,0.0012900829315185547,"['ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",44,38,0.0006473064422607422,True,N/A
"(1, 3, 2, 6, 4, 5, 0)","['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",280,208,0.009767770767211914,"['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",48,33,0.0006854534149169922,True,N/A
"(3, 6, 2, 4, 5, 1, 0)","['ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",197,140,0.005321025848388672,"['ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",34,27,0.00046634674072265625,True,N/A
"(4, 5, 1, 2, 3, 6, 0)","['ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",20,19,0.0002505779266357422,"['ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",10,10,0.00015926361083984375,True,N/A
"(4, 2, 5, 3, 1, 6, 0)","['ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2']",124,96,0.002511739730834961,"['ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2']",17,15,0.00020575523376464844,True,N/A
"(2, 3, 6, 4, 1, 5, 0)","['ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2']",159,121,0.003795623779296875,"['ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",112,79,0.0022497177124023438,False,Default
"(4, 2, 6, 5, 1, 3, 0)","['ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1']",92,70,0.0015799999237060547,"['ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1']",55,46,0.0008916854858398438,True,N/A
